max_amp,mean_amp,std_amp,rms,dominant_freq,duration,label
138476.49919924972,3112.083125125182,10111.382471758658,10111.382471758661,2.5483333333333333,600.0,1
396.34028294346444,59.770081841001655,77.5072765627663,77.5072765627663,1.0750000000000002,600.0,1
605.2069095242675,75.83980936586805,103.0207071690492,103.02070716906111,1.1633333333333333,600.0,1
420.60131816720366,76.30861698061968,97.48839075755777,97.48839075758235,1.3816666666666668,600.0,1
1699.5486006109918,124.71253497745636,211.97231449765403,211.9723144976602,1.155,600.0,1
898.4034302881372,157.8013459643869,203.41542697229963,203.41542697229985,2.7750000000000004,600.0,1
1277.3001955744194,198.8475680013469,261.3035620750889,261.30356207512114,1.0750000000000002,600.0,1
1770.490972632037,193.1599531505414,261.6671975632689,261.6671975632892,1.2166666666666668,600.0,1
931.4065302006557,161.97410435737422,207.68457057476186,207.6845705747648,1.3683333333333334,600.0,1
2448.1993515674776,212.1952253648089,313.5013667180992,313.5013667181627,1.0366666666666666,600.0,1
838.687640065745,151.0687439365387,194.29309711348478,194.2930971134849,2.44,600.0,1
976.1704272700672,150.54598834877493,194.94212941169275,194.9421294116934,4.223333333333334,600.0,1
1100.2898735421459,218.63742613855322,278.14198086987125,278.14198086987136,7.113333333333334,600.0,1
1363590.9176350688,9908.545911205629,51239.500146154496,51239.5001461545,2.5733333333333337,600.0,1
7281.465327512253,286.65114193168347,557.9886486981579,557.9886486981585,1.1933333333333334,600.0,1
10354.763839502479,265.8465899149786,657.363500554013,657.3635005540154,1.8050000000000002,600.0,1
11236.131607295052,247.46250614493096,706.7277865147523,706.7277865147563,1.9333333333333333,600.0,1
8912.277473642256,335.222905010364,718.4438016486641,718.4438016486641,1.0366666666666666,600.0,1
21516.776038600998,634.2561907609512,1598.4993268241126,1598.4993268241535,1.8066666666666669,600.0,1
22331.386074992643,806.4318202472936,2051.97703250899,2051.977032509045,1.6516666666666668,600.0,1
328.493308199279,61.66202101319517,79.35365661160803,79.35365661160851,2.166666666666667,600.0,1
1765.87422192336,98.73567070249631,217.78830821220544,217.78830821222206,1.4233333333333333,600.0,1
2475.2916092487817,231.35418425421213,346.17473936804674,346.1747393681325,1.2741975006125947,204.05,1
6069.376952943996,235.93124634365128,564.3957003544522,564.3957003544668,1.1483333333333334,600.0,1
2625.626182085729,147.07502384976348,276.6208638421766,276.6208638421769,1.1966666666666668,600.0,1
2625.6261820857276,121.10621254495481,264.0792893148143,264.07928931481814,1.1983333333333335,600.0,1
11268.728269512541,493.1879153399969,1206.8917061313227,1206.891706131326,1.0483333333333333,600.0,1
5468.134028497088,249.72003047780282,592.228634942187,592.2286349421989,1.0816666666666668,600.0,1
1224263.5657659867,37010.35762707645,109526.04835449776,109526.04835449798,2.2616666666666667,600.0,1
1282420.705992841,28087.174230317596,91879.05218969818,91879.05218969818,5.148333333333333,600.0,1
1208708.9532072828,42901.956951972956,116160.56043550848,116160.56043550847,3.8103651354534747,509.4,1
1064199.1660873536,8122.718439921811,49431.80625669567,49431.80625669567,2.475,600.0,1
1015805.2139154077,15106.861608489327,69545.19819594747,69545.19819594747,3.1683333333333334,600.0,1
15767.240390488038,505.289992521562,1164.5798598131146,1164.5798598131291,1.1633333333333333,600.0,1
387.71712732931564,44.384064061114486,57.30750225931919,57.307502259319286,1.3633333333333335,600.0,1
321.28906978378774,55.069938165797126,71.0643863513546,71.0643863513547,1.7000000000000002,600.0,1
275.4721912534271,56.70138882525138,72.53230662881397,72.53230662881448,1.3533333333333335,600.0,1
2673.112605359102,144.4294487594734,256.10461162045686,256.1046116204612,0.7833333333333334,600.0,1
101202.65680832468,1982.8382665781514,6123.808527493469,6123.808527493469,1.2000000000000002,600.0,1
670595.5145101789,615.7501056928817,11007.786690155677,11007.786690155677,5.365,600.0,1
64.3016053221233,1.2826041609191325,4.062106662924212,4.0621066629242115,2.5183333333333335,600.0,1
1.3644775031554641,0.19480574655829128,0.3090999357885455,0.30909993578854783,5.805000000000001,600.0,1
